#online:true
#name:UTF-8 Unicode 5.2,UTF-16LE Unicode 5.2,UTF-16BE Unicode 5.2
#id:utf-8@unicode5_2,utf-16le@unicode5_2,utf-16be@unicode5_2
#type:bin
#pattern:
#base:unicode5_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準。並於2009年10月公布Unicode 5.2版本，新增擴展C集(Extension C)共4,149字，達74,394個漢字，適用於WindowsVista／7等以上作業系統。
12-412C	2B0DD
12-4139	2B0DC
12-4143	2B162
12-4158	2B1DA
12-415E	2B1F1
12-4163	2B1F8
12-4168	2B1EE
12-4169	2B1F2
12-416D	2B1F3
12-416F	2B1EF
12-4229	2B1F0
12-422E	2B29E
12-4231	2B2A5
12-423C	2B2F3
12-425D	2B422
12-425F	2B423
12-426C	2B518
12-4274	2B53E
12-4277	2B53F
12-4336	2AEAE
12-433F	2A950
12-4341	2AAF1
12-434F	2A748
12-4356	2A74A
12-4357	2A73C
12-435D	2A787
12-4360	2A746
12-4362	2A743
12-4372	2A747
12-4375	2A744
12-437A	2A749
12-442B	2A792
12-442E	2B143
12-4438	2A7A5
12-4439	2A7A3
12-443B	2A7A2
12-444A	2A7B3
12-4456	2A7C8
12-445A	2A7C6
12-445D	2A7C9
12-447B	2A7FF
12-4528	2A80B
12-4529	2A80E
12-4557	2A844
12-4559	2A83B
12-455E	2A84C
12-456D	2A8AB
12-4572	2A8D5
12-4573	2A8DB
12-4577	2A8D8
12-462B	2A8CD
12-4630	2A8D6
12-4632	2A8DE
12-4636	2A8DF
12-463F	2A8E3
12-4647	2A8D9
12-4648	2A8D7
12-4653	2A82B
12-465C	2A952
12-4665	2A97A
12-4670	2A976
12-4677	2A979
12-472D	2A9D0
12-4736	2A9CE
12-4745	2AA02
12-474D	2AA0F
12-474F	2AA35
12-4750	2AA38
12-4751	2AA3A
12-476A	2AA73
12-4775	2AA97
12-4777	2AA93
12-4824	2AA94
12-482D	2AAAF
12-483A	2AACD
12-4845	2AAFF
12-484D	2AAFB
12-4855	2AAF9
12-486E	2AB79
12-4871	2AB76
12-4876	2AB7A
12-4921	2AB7B
12-4926	2AB74
12-4929	2AB7F
12-4932	2AB7C
12-4948	2ABE4
12-494D	2ABEC
12-4952	2ABF7
12-4956	2ABF5
12-495B	2AC1F
12-495C	2AC19
12-4960	2AC20
12-4967	2AC21
12-4969	2AE23
12-496D	2AC29
12-4977	2AC22
12-4978	2AC1A
12-497E	2AC1E
12-4A32	2AC87
12-4A3B	2AC83
12-4A45	2AC8F
12-4A46	2AC8C
12-4A47	2AC88
12-4A49	2AC84
12-4A50	2AC89
12-4A69	2AC8A
12-4A79	2AC85
12-4B2E	2AD48
12-4B38	2AD5C
12-4B3B	2AD5B
12-4B42	2AD8B
12-4B46	2AD80
12-4B57	2AD7C
12-4B64	2AD88
12-4B67	2AD7E
12-4B72	2AD81
12-4B7A	2AD85
12-4B7E	2AD86
12-4C38	2AE24
12-4C42	2AE2A
12-4C4D	2AE20
12-4C4E	2AE25
12-4C5E	2AEBC
12-4C61	2AEDA
12-4C67	2AED7
12-4C6F	2AED8
12-4C7D	2AEDD
12-4D25	2AEDB
12-4D39	2AF4F
12-4D3A	2AF4D
12-4D3C	2AF6C
12-4D48	2AF8D
12-4D52	2AFA7
12-4D60	2B142
12-4D66	2AFD4
12-4D6F	2AFD7
12-4D72	2AFD6
12-4D74	2AFD8
12-4D76	2AFD5
12-4D7C	2B004
12-4D7D	2B006
12-4E28	2B008
12-4E29	2B00A
12-4E34	2B007
12-4E37	2B02B
12-4E3A	2B02A
12-4E48	2B04B
12-4E4D	2A9CC
12-4E50	2B060
12-4E5F	2B075
12-4E61	2B072
12-4E63	2B0B6
12-4E74	2B0DE
12-4F30	2AE26
12-4F31	2B181
12-4F3E	2B19E
12-4F52	2B1F5
12-4F5B	2B1FA
12-4F6E	2B1F6
12-4F77	2B1F9
12-4F78	2B1FB
12-4F79	2B1FC
12-5024	2B1F7
12-5026	2B1FE
12-5028	2B29F
12-5033	2B2A8
12-5036	2B2AB
12-5039	2B2A9
12-503D	2B2F4
12-5045	2B2F5
12-504C	2B31C
12-5050	2B333
12-5057	2B38A
12-5058	2B38F
12-505E	2B390
12-5076	2B45F
12-507C	2B473
12-512A	2B541
12-5132	2B542
12-5138	2B58C
12-5143	2AD7F
12-5145	2B462
12-515A	2A723
12-5168	2A751
12-5169	2A752
12-516A	2A74B
12-516E	2A753
12-522B	2A74C
12-522F	2A74D
12-524D	2A7A8
12-5254	2A7A6
12-5261	2A7CA
12-5266	2A7CB
12-526E	2A7DF
12-5272	2A7E0
12-527B	2A7F5
12-532F	2A810
12-5344	2A855
12-534A	2AB0A
12-534B	2A853
12-5358	2A850
12-535D	2A859
12-536F	2A856
12-5370	2A8AD
12-5374	2A8EB
12-5422	2A8E4
12-5423	2A8DC
12-5425	2A8EA
12-5426	2A8E6
12-5429	2A8EC
12-5432	2A8ED
12-5436	2A8E5
12-5440	2AC26
12-5447	2A8E7
12-5455	2B2EB
12-5457	2A956
12-545E	2A953
12-5469	2A980
12-546A	2A981
12-5473	2A97C
12-547C	2A983
12-5521	2A97D
12-5529	2A984
12-5536	2A982
12-555D	2A9D3
12-555F	2A9D1
12-556F	2A9F9
12-5575	2AA11
12-557D	2AA3B
12-5621	2AA40
12-5625	2AA3F
12-5635	2AA3E
12-563B	2AA3D
12-563C	2AA3C
12-5649	2AA74
12-564A	2AA79
12-5651	2AA82
12-5661	2AA98
12-5669	2AAB0
12-566B	2AA83
12-5675	2AACF
12-5728	2AAFE
12-572C	2AB03
12-572F	2AB00
12-5737	2AB02
12-573F	2AAF7
12-5748	2AB4F
12-5754	2AB85
12-576B	2AB81
12-576C	2AB82
12-576D	2AB84
12-5773	2AB86
12-5821	2AB89
12-582A	2ABC5
12-5835	2AD4A
12-584A	2AC25
12-5851	2AC27
12-586C	2B1A0
12-586D	2B19F
12-587D	2AC9A
12-5925	2AC90
12-5927	2AC96
12-592D	2AC9B
12-5930	2AC98
12-5936	2AC99
12-593E	2AC91
12-5941	2AC95
12-5946	2ACA9
12-594A	2AC9C
12-5950	2AC97
12-5966	2AD2C
12-5968	2B14F
12-596B	2AD37
12-596C	2AD44
12-5972	2AD4B
12-597A	2AD5E
12-5A21	2AD90
12-5A2E	2AD91
12-5A34	2AD8C
12-5A36	2AD93
12-5A48	2AD94
12-5A58	2AD95
12-5A64	2AD82
12-5A6A	2AD8D
12-5A74	2AD97
12-5B25	2AE2B
